"","1","3","5","7","9","11","13","15","17","19","21","23","25","27","29"
"2",32.2916666666667,28.6458333333333,34.375,27.0833333333333,31.25,29.1666666666667,29.6875,29.6875,29.6875,33.3333333333333,34.375,31.25,31.25,31.25,31.25
"4",30.7291666666667,28.6458333333333,34.375,27.0833333333333,31.25,29.1666666666667,29.6875,29.6875,29.6875,33.3333333333333,34.375,31.25,31.25,31.25,31.25
"6",29.6875,28.6458333333333,34.375,27.0833333333333,31.25,29.1666666666667,29.6875,29.6875,29.6875,33.3333333333333,34.375,31.25,31.25,31.25,31.25
"8",27.6041666666667,28.125,34.375,27.0833333333333,31.25,29.1666666666667,29.6875,29.6875,29.6875,33.3333333333333,34.375,31.25,31.25,31.25,31.25
"10",28.125,29.1666666666667,34.375,27.0833333333333,31.25,29.1666666666667,29.6875,29.6875,29.6875,33.3333333333333,34.375,31.25,31.25,31.25,31.25
"12",29.1666666666667,30.2083333333333,33.8541666666667,27.0833333333333,31.25,29.1666666666667,29.6875,29.6875,29.6875,33.3333333333333,34.375,31.25,31.25,31.25,31.25
"14",28.6458333333333,30.2083333333333,31.25,27.0833333333333,31.25,29.1666666666667,29.6875,29.6875,29.6875,33.3333333333333,34.375,31.25,31.25,31.25,31.25
"16",27.0833333333333,28.6458333333333,27.6041666666667,25,31.25,29.1666666666667,29.6875,29.6875,29.6875,33.3333333333333,34.375,31.25,31.25,31.25,31.25
"18",30.2083333333333,31.7708333333333,29.6875,29.6875,31.25,29.1666666666667,29.6875,29.6875,29.6875,33.3333333333333,34.375,31.25,31.25,31.25,31.25
"20",30.2083333333333,30.7291666666667,29.1666666666667,29.1666666666667,31.25,29.1666666666667,29.6875,29.6875,29.6875,33.3333333333333,34.375,31.25,31.25,31.25,31.25
"22",31.25,30.7291666666667,30.2083333333333,30.7291666666667,30.2083333333333,29.1666666666667,29.6875,29.6875,29.6875,33.3333333333333,34.375,31.25,31.25,31.25,31.25
"24",32.2916666666667,31.25,31.7708333333333,30.7291666666667,29.6875,29.6875,29.6875,29.6875,29.6875,33.3333333333333,34.375,31.25,31.25,31.25,31.25
"26",32.2916666666667,31.25,31.7708333333333,30.7291666666667,29.6875,29.6875,29.6875,29.6875,29.6875,33.3333333333333,34.375,31.25,31.25,31.25,31.25
"28",31.7708333333333,30.2083333333333,30.7291666666667,30.7291666666667,29.6875,29.6875,29.6875,29.6875,29.6875,33.3333333333333,34.375,31.25,31.25,31.25,31.25
"30",31.25,29.6875,30.7291666666667,30.7291666666667,29.6875,29.6875,29.6875,29.6875,29.6875,33.3333333333333,34.375,31.25,31.25,31.25,31.25
"32",31.25,29.6875,30.7291666666667,30.7291666666667,29.6875,29.6875,29.6875,29.6875,29.6875,33.3333333333333,34.375,31.25,31.25,31.25,31.25
"34",31.25,29.6875,30.7291666666667,30.7291666666667,29.6875,29.6875,29.6875,29.6875,29.6875,33.3333333333333,34.375,31.25,31.25,31.25,31.25
"36",31.25,29.6875,30.7291666666667,30.7291666666667,29.6875,29.6875,29.6875,29.6875,29.6875,33.3333333333333,34.375,31.25,31.25,31.25,31.25
"38",31.7708333333333,30.2083333333333,31.25,31.25,30.2083333333333,30.2083333333333,30.2083333333333,30.2083333333333,30.2083333333333,33.3333333333333,34.375,31.25,31.25,31.25,31.25
"40",31.25,30.2083333333333,31.25,31.25,30.2083333333333,30.2083333333333,30.2083333333333,30.2083333333333,30.2083333333333,33.3333333333333,34.375,31.25,31.25,31.25,31.25
"42",31.25,30.2083333333333,31.25,31.25,30.2083333333333,30.2083333333333,30.2083333333333,30.2083333333333,30.2083333333333,33.3333333333333,34.375,31.25,31.25,31.25,31.25
"44",31.25,30.2083333333333,31.25,31.25,30.2083333333333,30.2083333333333,30.2083333333333,30.2083333333333,30.2083333333333,33.3333333333333,34.375,31.25,31.25,31.25,31.25
"46",32.8125,31.7708333333333,32.8125,32.8125,31.7708333333333,31.7708333333333,31.7708333333333,31.7708333333333,31.7708333333333,31.7708333333333,32.8125,31.25,31.25,31.25,31.25
"48",32.8125,31.7708333333333,32.8125,32.8125,31.7708333333333,31.7708333333333,31.7708333333333,31.7708333333333,31.7708333333333,31.7708333333333,32.8125,31.25,31.25,31.25,31.25
"50",32.2916666666667,32.2916666666667,32.2916666666667,32.2916666666667,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25
"52",32.2916666666667,32.2916666666667,32.2916666666667,32.2916666666667,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25
"54",32.2916666666667,32.2916666666667,32.2916666666667,32.2916666666667,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25
"56",32.2916666666667,32.2916666666667,32.2916666666667,32.2916666666667,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25
"58",32.2916666666667,32.2916666666667,32.2916666666667,32.2916666666667,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25
"60",32.2916666666667,32.2916666666667,32.2916666666667,32.2916666666667,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25
"62",32.2916666666667,32.2916666666667,32.2916666666667,32.2916666666667,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25
"64",32.2916666666667,32.2916666666667,32.2916666666667,32.2916666666667,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25
"66",32.2916666666667,32.2916666666667,32.2916666666667,32.2916666666667,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25
"68",32.2916666666667,32.2916666666667,32.2916666666667,32.2916666666667,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25
"70",32.2916666666667,32.2916666666667,32.2916666666667,32.2916666666667,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25
"72",32.2916666666667,32.2916666666667,32.2916666666667,32.2916666666667,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25
"74",32.2916666666667,32.2916666666667,32.2916666666667,32.2916666666667,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25
"76",32.2916666666667,32.2916666666667,32.2916666666667,32.2916666666667,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25
"78",32.2916666666667,32.2916666666667,32.2916666666667,32.2916666666667,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25
"80",32.2916666666667,32.2916666666667,32.2916666666667,32.2916666666667,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25
